id,query,CuisinePreference,DietaryNeedsOrRestrictions,MealType,is_realistic_and_kept,notes_for_filtering
778beb7d-7098-431b-a395-fdfdac19774b,looking for a vegan korean breakfast recipe,Korean,Vegan,Breakfast,1,
ec09460e-7139-4dc6-b8ba-72b8a66c1ad7,need a quick korean vegan lunch idea,Korean,Vegan,Lunch,1,
1746a07b-0f70-4544-9971-c56dbb13a536,what's a good vegan korean dinner recipe?,Korean,Vegan,Dinner,1,
5c93b2bd-0f31-4ad8-bc46-4ed45716747b,any vegan snacks from korean cuisine?,Korean,Vegan,Snack,1,
2db960ba-62a1-4e01-93d9-8c81732cd237,gluten free korean breakfast ideas pls!,Korean,Gluten-free,Breakfast,1,
0aecb38a-bf0f-43dd-bd8f-cfabcc48f792,need a korean lunch recipe that's gluten-free,Korean,Gluten-free,Lunch,1,
5a752a7c-79e4-43b6-8785-36580634ce83,what's a good gluten free korean dinner?,Korean,Gluten-free,Dinner,1,
e63e50fd-66e3-4027-9b06-410293d4e0a2,korean gluten free snack recipes?,Korean,Gluten-free,Snack,1,
8b1d3088-211f-4659-83dd-fd8d4a1ac4d2,keto korean breakfast ideas plz!,Korean,Keto,Breakfast,1,
5c2fcee8-6a40-4d0b-b687-2478eb7256de,need a korean lunch recipe for keto diet,Korean,Keto,Lunch,1,
d1837853-eacb-46e5-8fcf-2716bc3fbad9,what's a good keto korean dinner?,Korean,Keto,Dinner,1,
1c18d968-83b0-4ab3-9107-ea4c65eae20f,korean snacks that are keto friendly?,Korean,Keto,Snack,1,
e621634f-f104-438b-9a08-d3332b4f20bb,any korean breakfast recipes?,Korean,nan,Breakfast,1,
cd550058-777d-46cb-9458-4855cc928de8,looking for korean lunch ideas!,Korean,nan,Lunch,1,
646c4f9a-586e-44d1-9dbe-ef20d9be90c1,need korean dinner recipes!,Korean,nan,Dinner,1,
1d4733dc-e8a6-4a8e-9b1c-c1da90c30457,korean snack ideas?,Korean,nan,Snack,1,
810870ca-2cd3-4cee-af68-6f85d9ea38f6,need a vegan japanese breakfast recipe!,Japanese,Vegan,Breakfast,1,
0997f2a3-5836-4d2e-b6ed-be7c4d48ec95,what's a good vegan lunch in japanese cuisine?,Japanese,Vegan,Lunch,1,
08d9e401-0014-4669-8f93-906c00dee0c0,looking for a vegan japanese dinner recipe,Japanese,Vegan,Dinner,1,
21573e26-afe8-4f1f-b320-c876a8efc84f,any ideas for a vegan japanese snack?,Japanese,Vegan,Snack,1,
4a957093-f48e-4123-90b2-ef85cb4fe462,looking for a gluten-free japanese breakfast recipe,Japanese,Gluten-free,Breakfast,1,
8563eae0-bb02-46ad-b290-378892aef636,need a gluten free lunch idea from japanese cuisine,Japanese,Gluten-free,Lunch,1,
01ccecb2-f964-428d-baea-9de523e6cf01,what's a good gluten-free japanese dinner?,Japanese,Gluten-free,Dinner,1,
12d685ee-fc65-411a-a34a-1cd07404d024,easy gluten free japanese snack ideas pls,Japanese,Gluten-free,Snack,1,
c7aa1902-69b0-4fdf-88c2-caa991cb5ac5,keto japanese breakfast recipes anyone?,Japanese,Keto,Breakfast,1,
aed47521-e686-4051-b171-c5cf1ac36ec0,need a quick keto lunch recipe japanese style,Japanese,Keto,Lunch,1,
69c3bdd2-c9b9-45a1-b56b-5bd5cc808fbe,what's a good keto dinner from japanese cuisine?,Japanese,Keto,Dinner,1,
52037f13-1fca-4f56-9366-c9ab2c5fb606,looking for keto snack ideas japanese food,Japanese,Keto,Snack,1,
98e001ea-147d-41ba-bdd7-796f48998f25,any japanese breakfast recipes?,Japanese,nan,Breakfast,1,
1a44c214-94e4-46e1-9262-3139577baf62,japanese lunch ideas please!,Japanese,nan,Lunch,1,
120da4fc-7c37-4f31-b78a-b57baaf5c251,"need a japanese dinner recipe, no restrictions",Japanese,nan,Dinner,1,
9683c0ce-18bd-4948-83ff-660ab949f217,what's a good snack from japanese cuisine?,Japanese,nan,Snack,1,
95bdd122-b602-4254-8a46-fa4d71776e05,vegan chinese breakfast ideas?,Chinese,Vegan,Breakfast,1,
58ff18ac-7985-441f-98b6-784916adce5b,need a chinese vegan lunch recipe!,Chinese,Vegan,Lunch,1,
f14e6dfd-850b-40c7-909a-b5d54ac519ef,looking for a vegan dinner recipe chinese style,Chinese,Vegan,Dinner,1,
9fa653a4-529a-4252-bf82-696a156d921a,easy vegan chinese snack ideas pls!,Chinese,Vegan,Snack,1,
1ccb24c6-a1e5-43b6-a6af-5f5e2939117d,gluten-free chinese breakfast recipes?,Chinese,Gluten-free,Breakfast,1,
51c90e56-3855-4ab5-a8cf-6cc97304ddb5,need a gluten free lunch recipe chinese cuisine,Chinese,Gluten-free,Lunch,1,
da4645fa-86d7-4f18-8896-4daf8cecadae,what's a good gluten-free chinese dinner?,Chinese,Gluten-free,Dinner,1,
d3cdbe14-5262-4900-9729-f8cd642a9d28,looking for gluten free chinese snack ideas,Chinese,Gluten-free,Snack,1,
d40964e6-bab4-4afe-8867-b0593018ea4f,can you suggest a keto chinese breakfast recipe?,Chinese,Keto,Breakfast,1,
b4fd20cc-f044-4f59-a579-7b337f399ad9,looking for a chinese keto lunch idea!,Chinese,Keto,Lunch,1,
fa4bd526-61bc-4362-bfbb-61780246c4ca,need a quick keto dinner recipe with chinese flavors,Chinese,Keto,Dinner,1,
e2caff56-ee96-4440-b4f2-0d6ebbb36be6,what's a good keto chinese snack?,Chinese,Keto,Snack,1,
544bfa9a-9855-40f5-907d-0b11c3319a10,any chinese breakfast recipes?,Chinese,nan,Breakfast,1,
322563da-a80c-4a6a-bf1a-75dfb26cf93f,need ideas for a chinese lunch!,Chinese,nan,Lunch,1,
d5ade86c-8875-4a60-a8a8-63b1f85fab5e,what's a good chinese dinner recipe?,Chinese,nan,Dinner,1,
ad4936e2-6f6e-4168-87ad-82a091c0fbea,looking for a chinese snack recipe,Chinese,nan,Snack,1,
fb844344-750e-4b75-8c00-c853f8c05654,need a quick thai vegan breakfast recipe!,Thai,Vegan,Breakfast,1,
ff9c9a8f-f0d4-46b9-bb33-ccd3d52845b5,what's a good thai vegan lunch?,Thai,Vegan,Lunch,1,
1cd557b1-6b27-4f53-b443-24e7346087a2,can you give me a thai vegan dinner recipe?,Thai,Vegan,Dinner,1,
3510b77b-476f-4c70-b39a-2b61338d4e1e,need a thai vegan snack idea pls!,Thai,Vegan,Snack,1,
5c30c26a-e59a-4f73-b609-95114666ff2e,any gluten-free thai breakfast recipes?,Thai,Gluten-free,Breakfast,1,
4569add6-0542-4c2c-a733-df285367ea44,looking for a gluten free thai lunch!,Thai,Gluten-free,Lunch,1,
f46f0be7-9b80-4b37-a33d-93165ea517fb,what's a good gluten-free thai dinner?,Thai,Gluten-free,Dinner,1,
d3c3348f-3cfc-40cb-9636-f0870b594242,need a thai gluten-free snack idea!,Thai,Gluten-free,Snack,1,
abae6bf1-586c-48a3-9abb-fe336c345659,keto thai breakfast ideas?,Thai,Keto,Breakfast,1,
603350ad-60fb-4550-b88c-5955be7b8f89,what's a good keto thai lunch?,Thai,Keto,Lunch,1,
69408280-93a4-4f85-891a-0154abafe2d5,need a quick keto dinner recipe thai style!,Thai,Keto,Dinner,1,
56eca3d7-2585-4247-a147-5bca7d7fd763,looking for a keto thai snack recipe,Thai,Keto,Snack,1,
1832337f-ab88-4dcd-bf48-5bfd747b7c60,what are some thai breakfast ideas?,Thai,nan,Breakfast,1,
794e8bcd-8f61-4f15-b466-c87bec1c82e0,need a good thai lunch recipe!,Thai,nan,Lunch,1,
3130d0da-fc4e-479f-aef5-14d993ae11bc,looking for thai dinner options,Thai,nan,Dinner,1,
2b79ff2e-e4cd-4754-8065-7cf0c72a9fca,any thai snack recipes?,Thai,nan,Snack,1,
f68a0a3e-0ced-4932-ae9d-cdfa99d2643c,vegan mexican breakfast ideas pls!,Mexican,Vegan,Breakfast,1,
0ad93f88-43dd-4a94-b80e-118deb61a1f4,need a quick vegan lunch recipe mexican style,Mexican,Vegan,Lunch,1,
9ad4c962-e345-450a-b01f-fe4bab7bdb16,what's a good vegan dinner from mexico?,Mexican,Vegan,Dinner,1,
5ca47b8e-2b09-4aee-afe9-b665019984b0,easy vegan snacks mexican food?,Mexican,Vegan,Snack,1,
306f2d57-022b-4ab4-afaa-56245003cca8,gluten-free mexican breakfast recipes?,Mexican,Gluten-free,Breakfast,1,
cd4057e0-f011-46bd-950f-4e681c254aec,need gluten free lunch ideas mexican!,Mexican,Gluten-free,Lunch,1,
a162af7e-540f-4246-9a86-97bcbee724b3,looking for gluten-free mexican dinner recipes,Mexican,Gluten-free,Dinner,1,
b247319c-4614-44c3-a2a1-0427678b737a,any gluten free snack ideas mexican?,Mexican,Gluten-free,Snack,1,
d16cc60e-b352-4665-ab42-0ecd33753c9c,keto mexican breakfast recipes plz!,Mexican,Keto,Breakfast,1,
447a5728-d95d-4ef4-99c8-cb4c00160de0,need a quick keto lunch recipe mexican style,Mexican,Keto,Lunch,1,
1ac8ffe9-d096-4d15-b352-010b101f9cb1,what's a good keto dinner from mexico?,Mexican,Keto,Dinner,1,
89c99481-3787-4902-9702-f7d22a66ef15,easy keto snacks mexican food?,Mexican,Keto,Snack,1,
aca8abe2-4e0e-40b1-8bf3-fe9a2266d14b,mexican breakfast ideas?,Mexican,nan,Breakfast,1,
1d79477d-3ba2-4fe1-9260-3f85533a21df,looking for lunch recipes mexican!,Mexican,nan,Lunch,1,
7dee9eb9-9eb4-41f3-9e57-2f9da067daa4,need dinner ideas mexican cuisine,Mexican,nan,Dinner,1,
39937c03-54a2-4599-8036-cecf7199088a,any good mexican snack recipes?,Mexican,nan,Snack,1,
9afa7ced-0af7-4ee6-8136-66fb791f8b02,Can I get a vegan italian breakfast recipe?,Italian,Vegan,Breakfast,1,
eff867f3-70ec-49f3-a64a-b7ca12839bd5,looking for a quick vegan lunch recipe italian style,Italian,Vegan,Lunch,1,
6728e9b0-7d31-4c86-9d83-a4745c1b12a7,need a simple vegan dinner recipe from Italy,Italian,Vegan,Dinner,1,
ef1ec588-01be-4878-9c18-33d98a5baca2,what's a good italian vegan snack?,Italian,Vegan,Snack,1,
048e4d5b-bc28-4fb8-ba8a-926a6968561b,gluten free italian breakfast ideas pls,Italian,Gluten-free,Breakfast,1,
bf09f371-e675-4b3a-9722-0b82da1295c5,need a gluten-free italian lunch recipe,Italian,Gluten-free,Lunch,1,
e92cee26-09a9-4f73-b3dc-18a19075f143,easy gluten free dinner recipe italian cuisine,Italian,Gluten-free,Dinner,1,
f3421fb5-2736-4001-bdaf-6aab11e3b673,whats a good italian gluten free snack?,Italian,Gluten-free,Snack,1,
5633f57c-3be9-412d-9deb-9d9ce327ed6c,keto italian breakfast ideas needed!,Italian,Keto,Breakfast,1,
273b8884-512b-432d-a797-cc6bf6653211,looking for a keto italian lunch recipe,Italian,Keto,Lunch,1,
07d9f2ce-954d-41f5-9443-274612d9d324,need a simple keto dinner recipe italian,Italian,Keto,Dinner,1,
53f69845-11ab-4975-b0ab-c944e2f0b8eb,what's a good keto snack from italy?,Italian,Keto,Snack,1,
06b6ae4b-c068-4695-b7db-9c44d8f61e74,any italian breakfast ideas?,Italian,nan,Breakfast,1,
70472bbb-885f-40ce-add1-745d68887cf5,need a lunch recipe italian style,Italian,nan,Lunch,1,
7b25d5f1-f4aa-4b2f-9a2b-ea327c24f825,whats a good italian dinner recipe?,Italian,nan,Dinner,1,
b1ba1ad8-1921-410b-91af-7dffe90cb1f9,looking for a snack recipe italian,Italian,nan,Snack,1,
547f36af-b13d-487d-ab18-a8043644a11a,need a vegan korean breakfast recipe!,Korean,Vegan,Breakfast,1,
fd2c8d33-36c9-48cc-b399-ba4fedf81d2c,keto japanese lunch ideas plz!,Japanese,Keto,Lunch,1,
f525bf1c-7ea4-4026-84ef-0b5b29094537,any chinese snack recipes?,Chinese,nan,Snack,1,
6bc90b66-e9be-40bf-b49c-8d745f85276f,need a gluten free italian dinner recipe,Italian,Gluten-free,Dinner,1,
